,0,1
0,Lepirudin,0.05573368
1,Cetuximab,0.24768722
2,Dornase alfa,0.10560894
3,Denileukin diftitox,0.17977798
4,Etanercept,0.13798761
5,Leuprolide,0.16324914
6,Peginterferon alfa-2a,0.14864099
7,Alteplase,0.13067293
8,Sermorelin,0.11058521
9,Urokinase,0.114981174
10,Goserelin,0.1668874
11,Reteplase,0.109627485
12,Erythropoietin,0.20002306
13,Salmon Calcitonin,0.13416004
14,Pegfilgrastim,0.19123971
15,Sargramostim,0.106396794
16,Peginterferon alfa-2b,0.13777363
17,Asparaginase,0.1530819
18,Anakinra,0.10595262
19,Gramicidin D,0.12958741
20,Insulin Human,0.15087748
21,Tenecteplase,0.10130572
22,Desmopressin,0.17506361
23,Coagulation factor VIIa Recombinant Human,0.1470176
24,Oprelvekin,0.18116558
25,Palifermin,0.15275133
26,Glucagon recombinant,0.12720513
27,Aldesleukin,0.23536265
28,Omalizumab,0.13264859
29,Insulin Lispro,0.1338762
30,Insulin Glargine,0.1135658
31,Collagenase clostridium histolyticum,0.14903653
32,Rasburicase,0.18975902
33,Adalimumab,0.18080878
34,Somatropin recombinant,0.14966512
35,Imiglucerase,0.1139282
36,Gemtuzumab ozogamicin,0.05573368
37,Pegaspargase,0.14636278
38,Interferon beta-1a,0.10827494
39,Eptifibatide,0.13346851
40,Infliximab,0.15894938
41,Vasopressin,0.14130902
42,Interferon beta-1b,0.05573368
43,Trastuzumab,0.19970739
44,Rituximab,0.20441163
45,Basiliximab,0.11647308
46,Ibritumomab tiuxetan,0.05573368
47,Daptomycin,0.13867414
48,Pegvisomant,0.09387791
49,Pancrelipase,0.09938192
50,Alemtuzumab,0.17463136
51,Alglucerase,0.05573368
52,Laronidase,0.05573368
53,Cyclosporine,0.21051383
54,Alefacept,0.15173006
55,Efalizumab,0.105762005
56,Filgrastim,0.17157066
57,Coagulation Factor IX,0.11115754
58,Becaplermin,0.05573368
59,Agalsidase beta,0.10016215
60,Octreotide,0.16273487
61,Abarelix,0.104937434
62,Oxytocin,0.17153883
63,Natalizumab,0.13018084
64,Enfuvirtide,0.10053706
65,Palivizumab,0.120796084
66,Daclizumab,0.13613617
67,Bevacizumab,0.26036394
68,Cyanocobalamin,0.16326237
69,Biotin,0.119155526
70,Choline,0.13135982
71,Vitamin C,0.22608793
72,L-Aspartic Acid,0.111103654
73,L-Glutamine,0.10142839
74,Adenosine monophosphate,0.10497749
75,L-Serine,0.16835916
76,Calcitriol,0.16247642
77,Xanthophyll,0.17038977
78,Succinic acid,0.10230923
79,Riboflavin,0.17665124
80,Glycine,0.14520586
81,Calcidiol,0.14847314
82,L-Cysteine,0.17445433
83,Thiamine,0.18892503
84,Ergocalciferol,0.2135855
85,Folic Acid,0.21342838
86,Icosapent,0.1378839
87,Vitamin A,0.13342261
88,Vitamin E,0.21864033
89,Pyridoxine,0.13010025
90,Lipoic Acid,0.1364826
91,Cholecalciferol,0.2366823
92,Pravastatin,0.20058346
93,Fluvoxamine,0.15766764
94,Valsartan,0.14363658
95,Ramipril,0.16616035
96,Masoprocol,0.10914743
97,Flunisolide,0.10157609
98,Baclofen,0.10848606
99,Amphetamine,0.19654655
100,Nicotine,0.14265132
101,Lorazepam,0.20315087
102,Esmolol,0.16356218
103,Bortezomib,0.25850964
104,Ethchlorvynol,0.05573368
105,Carbidopa,0.12649965
