drug_name,ind_name,rating
Lepirudin,Heparin-induced thrombocytopenia with thrombosis,1
Cetuximab,Squamous cell carcinoma of mouth,1
Cetuximab,Squamous cell carcinoma of nose,1
Cetuximab,Squamous cell carcinoma of pharynx,1
Cetuximab,Laryngeal Squamous Cell Carcinoma,1
Cetuximab,Malignant tumor of colon,1
Dornase alfa,Cystic Fibrosis,1
Denileukin diftitox,"Lymphoma, T-Cell, Cutaneous",1
Etanercept,Rheumatoid Arthritis,1
Etanercept,Juvenile arthritis,1
Etanercept,"Arthritis, Psoriatic",1
Etanercept,Ankylosing spondylitis,1
Etanercept,Chronic small plaque psoriasis,1
Leuprolide,Precocious Puberty,1
Leuprolide,Endometriosis,1
Peginterferon alfa-2a,"Hepatitis C, Chronic",1
Peginterferon alfa-2a,"Hepatitis B, Chronic",1
Alteplase,Ischemic stroke,1
Alteplase,Acute myocardial infarction,1
Alteplase,Pulmonary Embolism,1
Sermorelin,Pituitary dwarfism,1
Urokinase,Pulmonary Embolism,1
Goserelin,Hormone receptor positive malignant neoplasm of breast,1
Goserelin,Endometriosis,1
Reteplase,Acute myocardial infarction,1
Erythropoietin,Anemia in chronic kidney disease,1
Erythropoietin,Anemia due to chemotherapy,1
Salmon Calcitonin,"Osteoporosis, Postmenopausal",1
Salmon Calcitonin,Osteitis Deformans,1
Pegfilgrastim,Chemotherapy-induced neutropenia,1
Sargramostim,Chemotherapy-induced neutropenia,1
Peginterferon alfa-2b,"Hepatitis C, Chronic",1
Asparaginase,Acute lymphocytic leukemia,1
Anakinra,Rheumatoid Arthritis,1
Anakinra,Cryopyrin-Associated Periodic Syndromes,1
Anakinra,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",1
Gramicidin D,Bacterial conjunctivitis,1
Gramicidin D,Infective blepharitis,1
Gramicidin D,Blepharoconjunctivitis,1
Gramicidin D,Bacterial keratitis,1
Insulin Human,"Diabetes Mellitus, Insulin-Dependent",1
Insulin Human,"Diabetes Mellitus, Non-Insulin-Dependent",1
Insulin Human,Diabetes Mellitus,1
Tenecteplase,Acute myocardial infarction,1
Desmopressin,Hemophilia A,1
Desmopressin,von Willebrand Disease,1
Desmopressin,Bedwetting,1
Coagulation factor VIIa Recombinant Human,Hemophilia A,1
Coagulation factor VIIa Recombinant Human,Hemophilia B,1
Coagulation factor VIIa Recombinant Human,Thrombasthenia,1
Coagulation factor VIIa Recombinant Human,Factor VII Deficiency,1
Oprelvekin,Thrombocytopenia,1
Palifermin,Mucositis following radiation therapy,1
Palifermin,Drug-induced mucositis,1
Glucagon recombinant,Hypoglycemia,1
Aldesleukin,"Leukemia, Myelocytic, Acute",1
Aldesleukin,Metastatic Renal Cell Cancer,1
Aldesleukin,"Malignant melanoma, metastatic",1
Omalizumab,Asthma,1
Omalizumab,Chronic idiopathic urticaria,1
Insulin Lispro,"Diabetes Mellitus, Insulin-Dependent",1
Insulin Lispro,"Diabetes Mellitus, Non-Insulin-Dependent",1
Insulin Glargine,"Diabetes Mellitus, Insulin-Dependent",1
Insulin Glargine,"Diabetes Mellitus, Non-Insulin-Dependent",1
Collagenase clostridium histolyticum,"Dupuytren's disease of finger, with contracture",1
Collagenase clostridium histolyticum,Peyronie Disease,1
Rasburicase,Hyperuricemia,1
Adalimumab,Rheumatoid Arthritis,1
Adalimumab,Juvenile arthritis,1
Adalimumab,"Arthritis, Psoriatic",1
Adalimumab,Ankylosing spondylitis,1
Adalimumab,Crohn Disease,1
Adalimumab,Ulcerative Colitis,1
Adalimumab,Chronic small plaque psoriasis,1
Adalimumab,Hidradenitis Suppurativa,1
Somatropin recombinant,Growth retardation,1
Somatropin recombinant,Prader-Willi Syndrome,1
Somatropin recombinant,Pituitary dwarfism,1
Somatropin recombinant,Turner Syndrome,1
Imiglucerase,Gaucher Disease,1
Gemtuzumab ozogamicin,"Leukemia, Myelocytic, Acute",1
Pegaspargase,Acute lymphocytic leukemia,1
Interferon beta-1a,"Multiple Sclerosis, Relapsing-Remitting",1
Eptifibatide,Acute Coronary Syndrome,1
Infliximab,Crohn Disease,1
Infliximab,Ulcerative Colitis,1
Infliximab,Rheumatoid Arthritis,1
Infliximab,Ankylosing spondylitis,1
Infliximab,"Arthritis, Psoriatic",1
Infliximab,Chronic small plaque psoriasis,1
Vasopressin,Bedwetting,1
Vasopressin,von Willebrand Disease,1
Vasopressin,Hemophilia A,1
Interferon beta-1b,"Multiple Sclerosis, Relapsing-Remitting",1
Trastuzumab,HER2-positive carcinoma of breast,1
Trastuzumab,Secondary malignant neoplasm of female breast,1
Trastuzumab,Secondary malignant neoplasm of stomach,1
Rituximab,"Lymphoma, Non-Hodgkin",1
Rituximab,Chronic Lymphocytic Leukemia,1
Rituximab,Rheumatoid Arthritis,1
Basiliximab,Renal transplant rejection,1
Ibritumomab tiuxetan,"Lymphoma, Follicular",1
Daptomycin,Right-sided Staphylococcus aureus endocarditis,1
Daptomycin,Sepsis due to Staphylococcus aureus,1
Pegvisomant,Acromegaly,1
Pancrelipase,Exocrine pancreatic insufficiency,1
Alemtuzumab,"Multiple Sclerosis, Relapsing-Remitting",1
Alglucerase,"Gaucher Disease, Type 1",1
Laronidase,Mucopolysaccharidosis I,1
Cyclosporine,Rheumatoid Arthritis,1
Cyclosporine,Dry Eye Syndromes,1
Cyclosporine,Keratoconjunctivitis Sicca,1
Alefacept,Chronic small plaque psoriasis,1
Efalizumab,Chronic small plaque psoriasis,1
Filgrastim,Chemotherapy-induced neutropenia,1
Filgrastim,Congenital neutropenia,1
Filgrastim,Cyclic neutropenia,1
Filgrastim,Chronic idiopathic neutropenia,1
Coagulation Factor IX,Hemophilia B,1
Becaplermin,Neuropathic diabetic ulcer - foot,1
Agalsidase beta,Fabry Disease,1
Octreotide,Acromegaly,1
Octreotide,Malignant Carcinoid Syndrome,1
Abarelix,Ischemic priapism,1
Oxytocin,Unspecified Abortion,1
Oxytocin,Postpartum Hemorrhage,1
Oxytocin,Incomplete spontaneous abortion,1
Natalizumab,Multiple Sclerosis,1
Natalizumab,Crohn Disease,1
Enfuvirtide,HIV Infections,1
Palivizumab,Respiratory Syncytial Virus Infections,1
Daclizumab,Renal transplant rejection,1
Daclizumab,"Multiple Sclerosis, Relapsing-Remitting",1
Bevacizumab,Secondary malignant neoplasm of colon,1
Bevacizumab,Nonsquamous nonsmall cell neoplasm of lung,1
Bevacizumab,Glioblastoma Multiforme,1
Bevacizumab,Metastatic Renal Cell Cancer,1
Bevacizumab,Cervix carcinoma,1
Bevacizumab,Malignant tumor of peritoneum,1
Bevacizumab,Malignant epithelial tumor of ovary,1
Bevacizumab,Malignant neoplasm of fallopian tube,1
Cyanocobalamin,Megaloblastic anemia due to folate deficiency,1
Cyanocobalamin,"Anemia, Pernicious",1
Cyanocobalamin,Iron deficiency anemia,1
Cyanocobalamin,Vitamin Deficiency,1
Cyanocobalamin,Vitamin B 12 Deficiency,1
Biotin,Biotin deficiency disease,1
Choline,Sleeplessness,1
Vitamin C,Breastfeeding (mother),1
Vitamin C,Vitamin Deficiency,1
L-Aspartic Acid,Hypokalemia,1
L-Glutamine,Short Bowel Syndrome,1
Adenosine monophosphate,Pulmonary Cystic Fibrosis,1
L-Serine,"Glaucoma, Open-Angle",1
L-Serine,Bacterial urinary infection,1
L-Serine,"Tuberculosis, Pulmonary",1
L-Serine,Acute tuberculosis,1
L-Serine,Escherichia coli urinary tract infection,1
Calcitriol,Chronic small plaque psoriasis,1
Calcitriol,Hypocalcemia,1
Calcitriol,Hypophosphatemia,1
Calcitriol,Renal Osteodystrophy,1
Calcitriol,Hypoparathyroidism,1
Xanthophyll,Age related macular degeneration,1
Xanthophyll,Dry Eye Syndromes,1
Xanthophyll,Meibomian gland dysfunction,1
Succinic acid,Iron deficiency anemia,1
Riboflavin,Mineral deficiency,1
Riboflavin,Vitamin Deficiency,1
Glycine,Rhinorrhea,1
Glycine,Coughing,1
Glycine,Nasal congestion (finding),1
Glycine,Allergic rhinitis (disorder),1
Glycine,Rhinitis,1
Glycine,Common Cold,1
Calcidiol,Hypocalcemia,1
Calcidiol,Renal Osteodystrophy,1
Calcidiol,Rickets,1
Calcidiol,Hypophosphatemia,1
L-Cysteine,Bronchitis,1
L-Cysteine,Poisoning by acetaminophen,1
L-Cysteine,Amyloidosis,1
L-Cysteine,Pulmonary Cystic Fibrosis,1
L-Cysteine,Bronchiectasis,1
Thiamine,Vitamin B 12 Deficiency,1
Thiamine,Wernicke-Korsakoff Syndrome,1
Thiamine,Vitamin Deficiency,1
Thiamine,"Anemia, Pernicious",1
Thiamine,Thiamine Deficiency,1
Thiamine,Mineral deficiency,1
Ergocalciferol,Vitamin D Deficiency,1
Ergocalciferol,Osteomalacia,1
Ergocalciferol,Rickets,1
Ergocalciferol,Vitamin D-dependent rickets,1
Ergocalciferol,Vitamin Deficiency,1
Ergocalciferol,Osteoporosis,1
Ergocalciferol,Hypocalcemia,1
Ergocalciferol,"Osteoporosis, Postmenopausal",1
Ergocalciferol,"Vitamin D-Resistant Rickets, X-Linked",1
Ergocalciferol,Hypoparathyroidism,1
Folic Acid,Megaloblastic anemia due to folate deficiency,1
Folic Acid,Mineral deficiency,1
Folic Acid,Breastfeeding (mother),1
Folic Acid,Iron deficiency anemia,1
Folic Acid,Folic Acid Deficiency,1
Folic Acid,Vitamin Deficiency,1
Icosapent,Breastfeeding (mother),1
Icosapent,Hypertriglyceridemia,1
Vitamin A,Mineral deficiency,1
Vitamin A,Vitamin Deficiency,1
Vitamin A,Vitamin A Deficiency,1
Vitamin E,Vitamin E Deficiency,1
Pyridoxine,Breastfeeding (mother),1
Pyridoxine,"EPILEPSY, PYRIDOXINE-DEPENDENT",1
Pyridoxine,Vitamin B 6 Deficiency,1
Lipoic Acid,Diabetic peripheral neuropathy,1
Cholecalciferol,"Osteoporosis, Postmenopausal",1
Cholecalciferol,Hypoparathyroidism,1
Cholecalciferol,Rickets,1
Cholecalciferol,Hypocalcemia,1
Cholecalciferol,Vitamin Deficiency,1
Cholecalciferol,Osteomalacia,1
Cholecalciferol,Vitamin D-dependent rickets,1
Cholecalciferol,Osteoporosis,1
Pravastatin,Cerebrovascular accident,1
Pravastatin,Hyperlipoproteinemia Type III,1
Pravastatin,Familial hypercholesterolemia - heterozygous,1
Pravastatin,Hypercholesterolemia,1
Pravastatin,Hypertriglyceridemia,1
Pravastatin,"Hyperlipidemia, Familial Combined",1
Pravastatin,Arteriosclerosis,1
Fluvoxamine,Obsessive-Compulsive Disorder,1
Fluvoxamine,"Phobia, Social",1
Valsartan,Chronic heart failure,1
Valsartan,Hypertensive disease,1
Ramipril,Cerebrovascular accident,1
Ramipril,Chronic heart failure,1
